Idpt	xcoord	ycoord
270	782335.526895248	9924345.58542451
271	782334.39074717	9924340.71621846
272	782333.254599092	9924335.84701241
273	782332.118451014	9924330.97780636
274	782330.982302936	9924326.10860031
275	782329.846154858	9924321.23939426
276	782328.71000678	9924316.37018822
277	782327.573858702	9924311.50098217
278	782326.437710624	9924306.63177612
279	782325.301562546	9924301.76257007
280	782324.165414468	9924296.89336402
281	782323.02926639	9924292.02415797
282	782321.893118312	9924287.15495192
283	782320.756970234	9924282.28574588
284	782319.620822156	9924277.41653983
285	782318.484674078	9924272.54733378
286	782317.348526	9924267.67812773
287	782316.212377922	9924262.80892168
288	782315.076229844	9924257.93971563
289	782313.940081766	9924253.07050958
290	782313.093987668	9924248.18324543
291	782313.61741159	9924243.21071816
292	782314.140835513	9924238.2381909
293	782314.664259435	9924233.26566363
294	782315.187683358	9924228.29313637
295	782315.711107281	9924223.3206091
296	782316.234531203	9924218.34808184
297	782316.757955126	9924213.37555457
298	782317.281379048	9924208.40302731
299	782317.804802971	9924203.43050005
300	782318.328226894	9924198.45797278
301	782318.851650816	9924193.48544552
302	782319.375074739	9924188.51291825
303	782319.898498661	9924183.54039099
304	782320.421922584	9924178.56786372
305	782320.945346507	9924173.59533646
306	782321.468770429	9924168.62280919
307	782321.992194352	9924163.65028193
308	782322.515618274	9924158.67775466
309	782323.039042197	9924153.7052274
310	782323.56246612	9924148.73270013
311	782324.085890042	9924143.76017287
312	782324.609313965	9924138.7876456
313	782325.132737887	9924133.81511834
314	782325.65616181	9924128.84259108
315	782326.179585733	9924123.87006381
316	782326.703009655	9924118.89753655
317	782327.226433578	9924113.92500928
318	782327.7498575	9924108.95248202
319	782328.273281423	9924103.97995475
320	782328.796705346	9924099.00742749
321	782329.320129268	9924094.03490022
322	782329.843553191	9924089.06237296
323	782330.366977113	9924084.08984569
324	782330.890401036	9924079.11731843
325	782331.413824958	9924074.14479117
326	782331.937248881	9924069.1722639
327	782332.460672804	9924064.19973664
328	782332.984096726	9924059.22720937
329	782333.507520649	9924054.25468211
330	782334.030944571	9924049.28215484
331	782334.554368494	9924044.30962758
332	782335.077792417	9924039.33710031
333	782335.601216339	9924034.36457305
334	782336.124640262	9924029.39204578
335	782336.648064184	9924024.41951852
336	782337.171488107	9924019.44699126
337	782337.69491203	9924014.47446399
338	782338.218335952	9924009.50193673
339	782338.741759875	9924004.52940946
340	782339.265183797	9923999.5568822
341	782339.78860772	9923994.58435493
342	782340.312031642	9923989.61182767
343	782340.835455565	9923984.6393004
344	782341.358879488	9923979.66677314
345	782341.88230341	9923974.69424587
346	782342.405727333	9923969.72171861
347	782342.929151255	9923964.74919134
348	782343.452575178	9923959.77666408
349	782343.975999101	9923954.80413681
350	782344.499423023	9923949.83160955
351	782345.022846946	9923944.85908229
352	782345.546270868	9923939.88655502
353	782346.069694791	9923934.91402776
354	782346.593118713	9923929.94150049
355	782347.116542636	9923924.96897323
356	782347.639966559	9923919.99644596
357	782348.163390481	9923915.0239187
358	782348.686814404	9923910.05139143
359	782349.210238326	9923905.07886417
360	782349.733662249	9923900.1063369
361	782350.257086172	9923895.13380964
362	782350.780510094	9923890.16128238
363	782351.303934017	9923885.18875511
364	782351.827357939	9923880.21622785
365	782352.350781862	9923875.24370058
366	782352.874205785	9923870.27117332
367	782353.397629707	9923865.29864605
368	782353.92105363	9923860.32611879
369	782354.444477552	9923855.35359152
370	782354.967901475	9923850.38106426
371	782355.491325398	9923845.40853699
372	782356.01474932	9923840.43600973
373	782356.538173243	9923835.46348246
374	782357.061597165	9923830.4909552
375	782357.585021088	9923825.51842793
376	782358.10844501	9923820.54590067
377	782358.631868933	9923815.57337341
378	782359.155292856	9923810.60084614
379	782359.678716778	9923805.62831888
380	782360.202140701	9923800.65579161
381	782360.725564623	9923795.68326435
382	782361.248988546	9923790.71073708
